27/11/2020,01:24:47.33,0.15,36.133,0.3,137.44,0.45,9.7,1.6,-0.3v,NORTHERN GIFU PREF  a,
27/11/2020,01:28:45.14,0.13,38.844,0.41,142.439,0.41,37.8,1.4,1.0V,E OFF MIYAGI PREF  A,
27/11/2020,01:30:20.26,0.04,34.993,0.13,134.681,0.12,13.5,0.5,0.4v,SW HYOGO PREF  A,
27/11/2020,01:38:42.90,0.09,37.971,0.53,142.651,0.46,16.9,1.8,1.5V,SE OFF MIYAGI PREF  A,
27/11/2020,01:39:20.03,0.29,33.085,2.51,138.193,1.84,324,,2.6V,FAR S OFF TOKAI DISTRI,CT  k
27/11/2020,01:41:24.37,0.05,35.071,0.11,137.873,0.14,25.1,0.5,0.5V,SW SHIZUOKA PREF  A,
27/11/2020,01:41:53.32,0.1,37.651,0.26,141.703,0.32,43.9,0.9,1.1V,E OFF FUKUSHIMA PREF,A
27/11/2020,01:42:25.30,0.3,35.975,0.33,138.079,0.8,7.6,1.9,-0.5v,AKAISHI MOUNTAINS REG,a
27/11/2020,01:44:17.00,0.34,26.388,0.96,128.911,1.25,27,,2.2V,NEAR OKINAWAJIMA ISLAN,D  K
27/11/2020,01:49:13.01,0.16,39.084,0.33,142.169,0.54,41.9,1.3,0.7v,E OFF IWATE PREF  A,
27/11/2020,01:50:31.69,0.11,37.017,0.59,142.062,0.67,18.6,4.1,1.4v,E OFF FUKUSHIMA PREF,A
27/11/2020,01:51:05.29,0.05,34.889,0.12,137.899,0.12,18.1,0.4,0.3V,SW SHIZUOKA PREF  A,
27/11/2020,01:52:15.10,0.11,32.259,0.35,131.774,0.59,38.3,0.8,1.3V,HYUGANADA REGION  A,
27/11/2020,01:55:00.34,0.07,38.788,0.19,141.627,0.38,67.8,0.6,3.2V,NORTHERN MIYAGI PREF,K
27/11/2020,01:56:17.85,0.06,34.993,0.16,134.682,0.15,13.9,0.6,0.5v,SW HYOGO PREF  A,
27/11/2020,01:57:01.78,0.05,31.33,0.18,130.612,0.18,4.8,2.6,1.2V,SATSUMA PENINSULA REGI,ON  A
27/11/2020,02:02:41.22,0.16,40.578,0.52,141.557,0.98,82.4,1.3,1.3V,E OFF AOMORI PREF  A,
27/11/2020,02:03:10.86,0.03,32.194,0.1,130.319,0.11,9.5,0.6,0.7V,AMAKUSA REGION  A,
27/11/2020,02:03:32.57,0.16,30.217,0.54,130.843,0.41,7.6,1.4,2.3V,NEAR TANEGASHIMA ISLAN,D  K
27/11/2020,02:08:33.55,0.02,36.049,0.1,137.523,0.12,5.8,1,1.0V,WESTERN NAGANO PREF  k,
27/11/2020,02:08:51.54,0.09,33.705,0.17,134.183,0.22,21.3,0.9,0.2V,TOKUSHIMA PREF  A,
27/11/2020,02:11:44.82,0.09,34.643,0.22,140.657,0.22,46,0.9,1.0V,SE OFF BOSO PENINSULA,k
27/11/2020,02:13:51.49,0.15,36.171,0.57,143.572,0.81,25.2,1.2,2.9V,FAR E OFF CENTRAL HONS,HU  A
27/11/2020,02:16:32.43,0.03,35.87,0.09,138.728,0.11,8.3,0.7,0.8V,WESTERN SAITAMA PREF,A
27/11/2020,02:20:07.91,0.05,32.014,0.13,129.728,0.24,11.1,1.2,1.0V,W OFF AMAKUSA ISLAND,k
27/11/2020,02:20:20.12,0.09,27.67,0.56,128.457,0.83,63.4,1.2,1.0v,NEAR OKINAWAJIMA ISLAN,D  A
27/11/2020,02:21:35.57,0.06,36.626,0.17,139.486,0.16,8.8,0.5,0.0v,TOCHIGI GUNMA BORDER,A
27/11/2020,02:21:49.79,0.05,36.635,0.19,139.487,0.19,8.5,0.4,0.1v,TOCHIGI GUNMA BORDER,k
27/11/2020,02:21:54.48,0.1,31.326,0.29,130.615,0.26,8.5,2.6,0.6v,SATSUMA PENINSULA REGI,ON  A
27/11/2020,02:23:59.33,0.08,32.494,0.19,131.682,0.3,17.4,0.7,0.1v,NORTHERN MIYAZAKI PREF,A
27/11/2020,02:26:14.32,0.11,38.368,0.29,141.819,1.08,54.9,1.3,0.9v,E OFF MIYAGI PREF  A,
27/11/2020,02:27:41.30,0.06,34.661,0.15,134.387,0.22,12.7,0.9,0.7V,HARIMANADA SETONAIKAI,A
27/11/2020,02:27:59.62,0.1,35.857,0.33,140.917,0.28,36.5,0.9,1.2V,NEAR CHOSHI CITY  k,
27/11/2020,02:28:53.01,0.04,33.78,0.17,134.621,0.14,17.6,0.4,0.6V,TOKUSHIMA PREF  A,
27/11/2020,02:34:25.06,0.13,38.776,0.25,144.321,0.36,33.8,2.1,1.6V,FAR E OFF NORTH HONSHU,A
27/11/2020,02:37:00.98,0.4,31.468,1.88,129.28,1.74,8,,0.5v,SW OFF KYUSHU  A,
27/11/2020,02:37:50.12,0.39,35.475,0.68,139.105,0.75,18.7,3.2,0.0v,KANAGAWA PREF  A,
27/11/2020,02:39:15.82,0.22,31.343,0.62,130.612,0.48,14.2,3,0.4v,SATSUMA PENINSULA REGI,ON  a
27/11/2020,02:39:48.22,0.03,36.815,0.08,140.519,0.37,7.7,0.6,-0.2v,NORTHERN IBARAKI PREF,a
27/11/2020,02:41:42.16,0.04,35.013,0.13,132.936,0.14,7.7,0.9,0.4V,SHIMANE HIROSHIMA BORD,ER  A
27/11/2020,02:42:07.92,0.03,36.594,0.13,140.977,0.16,17.3,1,1.8V,E OFF IBARAKI PREF  K,
27/11/2020,02:59:47.44,0.04,32.847,0.1,130.568,0.19,7.3,0.7,-0.2v,NW KUMAMOTO PREF  A,
27/11/2020,03:03:29.83,0.07,42.513,0.34,141.123,0.4,2.6,1.4,0.2v,IBURI REGION  A,
27/11/2020,03:18:46.18,0.06,31.863,0.15,131.251,0.33,11.8,0.8,-0.2v,SOUTHERN MIYAZAKI PREF,A
