#NAME?,n Time------,#NAME?,---Lat--,#NAME?,r---Long-,#NAME?,---Dep--,DepEr,r-Mag----,-----Region----Flag--------------------
18/01/2020,17:32:14.88,0.06,36.58,0.2,138.22,0.27,3.9,1.4,1.0V,NEAR MATSUSHIRO  A
18/01/2020,17:37:15.10,0.32,43.346,1.9,146.998,1.57,54,,2.3V,E OFF HOKKAIDO  k
18/01/2020,17:39:07.49,0.17,31.852,0.55,129.205,0.62,7,3.5,2.7V,SW OFF KYUSHU  K
18/01/2020,17:43:50.43,0.06,36.282,0.11,137.059,0.13,1.9,0.8,1.1V,TOYAMA GIFU BORDER REG  k
18/01/2020,17:44:02.87,0.2,38.259,0.88,142.258,0.96,25.4,3.8,1.6V,E OFF MIYAGI PREF  A
18/01/2020,17:44:58.92,0.07,32.266,0.26,130.512,0.35,5.3,1.6,0.0v,SOUTHERN KUMAMOTO PREF  k
18/01/2020,17:47:39.04,0.19,38.353,0.49,142.357,0.77,30,,1.5v,E OFF MIYAGI PREF  A
18/01/2020,17:50:04.22,0.02,35.087,0.08,135.647,0.08,7.2,0.5,0.3V,MID KYOTO PREF  k
18/01/2020,17:50:10.89,0.04,38.484,0.12,140.345,0.2,9,0.8,0.8V,SOUTHERN YAMAGATA PREF  A
18/01/2020,17:50:16.44,0.29,35.391,0.7,140.423,1.52,49,2.4,1.0v,KUJUKURI COAST BOSO PEN  k
18/01/2020,17:50:28.31,0.07,36.581,0.18,138.226,0.24,3.2,1.3,1.2V,NEAR MATSUSHIRO  A
18/01/2020,17:55:08.85,0.17,38.426,0.49,142.148,0.93,28.1,2.7,1.7V,E OFF MIYAGI PREF  A
18/01/2020,17:57:51.56,0.23,41.649,1.12,141.603,3.37,116,,0.8V,E OFF AOMORI PREF  k
18/01/2020,17:58:31.76,0.09,34.911,0.18,137.78,0.26,20.7,0.8,0.6V,SW SHIZUOKA PREF  A
18/01/2020,18:02:24.17,0.26,31.408,0.84,130.494,1.25,150.6,2.1,1.5V,SATSUMA PENINSULA REGION  k
18/01/2020,18:02:50.23,0.14,31.227,0.48,130.37,1.4,147,1.3,1.8V,SATSUMA PENINSULA REGION  K
18/01/2020,18:03:47.53,0.17,34.13,0.24,133.801,0.35,11,1.5,0.1V,KAGAWA PREF  k
18/01/2020,18:03:50.43,0.29,34.036,0.45,135.236,1.26,4.8,3.1,-0.1v,NW WAKAYAMA PREF  a
18/01/2020,18:07:05.52,0.2,37.378,0.58,141.538,0.78,17,2.9,1.3v,E OFF FUKUSHIMA PREF  k
18/01/2020,18:09:01.69,0.1,37.044,0.19,139.399,0.31,9.1,0.8,0.2v,WESTERN FUKUSHIMA PREF  A
18/01/2020,18:09:52.89,0.11,35.966,0.36,140.171,0.44,58.5,0.8,1.1v,SOUTHERN IBARAKI PREF  A
18/01/2020,18:12:04.47,0.07,32.491,0.2,131.225,0.21,11.4,1,0.4V,NORTHERN MIYAZAKI PREF  A
18/01/2020,18:15:53.75,0.02,36.827,0.05,140.553,0.1,6.6,0.4,0.4v,NORTHERN IBARAKI PREF  A
18/01/2020,18:18:37.13,0.28,35.005,0.86,137.956,0.86,7.8,3.7,0.0v,CENTRAL SHIZUOKA PREF  a
18/01/2020,18:19:59.84,0.31,37.628,1.03,143.199,1.77,46,,2.5V,FAR E OFF FUKUSHIMA PREF  k
18/01/2020,18:23:24.17,0.04,35.873,0.12,137.662,0.13,9.8,0.7,0.7V,WESTERN NAGANO PREF  A
18/01/2020,18:27:55.53,0.26,24.882,0.81,124.078,0.52,1,,1.8v,NW OFF ISHIGAKIJIMA IS  K
